NAME,OTHER NAMES,EST.,GRAVE LISTING/,TOWNSHIP,MAP LOCATION/,NOTES,CONDITION,LAT,LONG
Abel White,---,1817,Burial Listing,Brookville,S24,"Located in the northwest corner of Section 24 of Brookville Twp, off Whitcomb Road. This cemetery involved the same White family as in Bath Twp which was restored in 2009. PHOTO BY DON DUNAWAY",RESTORED 2010,---,---
Adams,---,1826,Burial Listing,Laurel,S34-T12N-R12E,"1/2 mile North of US 52, 2 miles West of Metamora. Located on private property with no public access. PHOTO BY CEMETERY COMMISSION",RESTORED 2009,39.4536,-85.1672
Alden,---,1844,Burial Listing,Dearborn Co,S23-T8N-R3W,"On West County Line Road, south of Walters Road in Dearborn County",Unknown,39.2592,-85.0744
"Alley, John","Jones-Gloshen, Jones-Clawson, Frank White, Wolf Creek",1830,Burial Listing,Butler,S21-T11N-R13E,.3 miles east of Oak Forest junction of St Mary's and Wolf Creek Roads,RESTORED 2007,39.3839,-85.08
Alley-Wolf,---,1879,Burial Listing,Metamora,---,"Intersection of Hundley Rd and Pipe Creek Rd, E. side of road.",Fair,---,---
Altare,---,Unknown,Burial Listing,---,---,---,Unknown,---,---
Ancient Grave Yard,---,,Burial Listing,Brookville,S20-T9N-R2,On Fairfield Avenue in Brookville east of 11th Street-no stones,Unable to locate,---,---
Anspach Farm,Harvey,1821,Burial Listing,Blooming Grove,---,"East of Blooming Grove, northside of Fairfield Causeway Road",RESTORED 2005,---,---
Asbury,Fruits,1820,Burial Listing,Springfield,S23-T9N-R1W,2.5 miles NE of Mt Carmel-2.5 miles NW of Scipio. It is locatedon a high mound west of Raymond Road and south of Merrill Road overlooking Dry Fork Creek. The Asbury Methodist Church was torn down on the site in 1925. PHOTO BY DON DUNAWAY.,RESTORED 2008,39.4244,-84.845
Ashton,---,1827,Burial Listing,Whitewater,S8-T8N-R1W,2 miles southwest of Mt Carmel. PHOTO BY ED BAKER.,RESTORED 2008,---,---
Baptist,Old Johnson Fork Baptist,1815,Burial Listing,Whitewater,S26-T8N-R1W,"1 mile south of Drewersburg, on the corner of Drewersburg Road and Carolina Trace Road",Excellent,39.3272,-84.8389
Barnes,---,1836,Burial Listing,Salt Creek,S17-T11N-R12E,This cemetery was in the tornado of 1974. Named after the former landowner. P19051 Walnut Fork Road.,RESTORED 2010,39.3986,-85.2233
Beeler,---,1878,Burial Listing,Metamora,---,19051 Walnut Fork Road,Poor,---,---
Berg-Harding,"Harding, John Harding",1838,Burial Listing,Highland,S13-T8N-R2W,On land formerly owned by the Harding Family. East of State Road 1. ,RESTORED 2005,---,---
Berry,---,1834,Burial Listing,Brookville,S26-T9N-R2W,"Located 3.5 miles east of Brookville on State Road 252 on the southside of the road, 500 south of 252 and east of Holland Road.",RESTORED 2005,39.4164,-84.9539
Bertenshaw,---,1865,Burial Listing,Springfield,S33-T9N-R1W,"Cemetery is situated on a knoll south of small stream in the middle of a corn field. (The commission cannot provide care for Bertenshaw, as it was established after 1850.",Unknown,39.3937,-84.8762
Bethlehem,---,1831,Burial Listing,Bath,S22-T10N-R1W,North on Barkley Road from Bath about 1/2 mile on the left. ,RESTORED 2010,39.5156,-84.8558
Big Cedar,Big Cedar Grove,1817,Burial Listing,Springfield,S7-T9N-R1W,Located on Liberty Pike on the westside of the road. ,PARTIALLY RESTORED BY PRIVATE CONTRIBUTIONS IN 2012,39.4517,-84.9111
Blooming Grove,---,1811,Burial Listing,Blooming Grove,S10-T2N-R13E,Located on east side of State Road 1.,RESTORED 2009,39.5047,-85.0639
Blue Creek Catholic,St Jacob,1838,Notes,Dearborn Co,S1-T7N-R3W,Located just south across the county line in Dearborn County on west side of Blue Creek Road,Unknown,39.3064,-85.0536
Blue Creek,"St Peter UCC, Klemme's Corner, Gobel's Creek",1845,Burial Listing,Highland,S17-T8N-R2W,"Old cemetery on Highland Center Road, new cemetery on Bossert Road just west of Klemme's Corner. ",Excellent,39.3547,-85.0039
Blue Creek Lutheran,Zion Lutheran,1844,Burial Listing,Highland,S25-T8N-R3W,On Pine Road west of St Peter's. Cemetery is hidden from the road and difficult to find. ,RESTORED 2006,39.3222,-85.0525
Bochim,Bocum,1810,Burial Listing,Laurel,S3-T12N-R12E,1 mile northeast of Laurel on State Road 121...east of Laurel North Cemetery,Excellent,39.5203,-85.1758
Bowman,---,1853,Burial Listing,Salt Creek,S8-T11N-R12E,"On Shady Road, 1 mile north of Bull Fork Rd.",Poor,39.4128,-85.2136
Bradburn Family Cemetery,---,1818,Burial Listing,Brookville,S28-T9N-R2W,On State Road 252 about 2 miles east of Brookville on a knoll 400 feet off the northside of the road. ,RESTORED 2009,39.4139,-84.9825
Braysville (Longnecker),---,1818,Burial Listing,Dearborn Co,S10-T7N-R1W,On US 52 near junction of State Road 46 in Dearborn County,Good,39.285,-84.8692
Brookville Catholic,St. Michael,1854,Burial Listing,Brookville,S20-T9N-R2W,South of State Road 101 at north edge of Brookville ,Excellent,39.4303,-85.0086
Brookville Town,Old Brookville,1816,Burial Listing,Brookville,S20-T9N-R2W,Site of the old brick church. Restored with the help of a Dept. of the Interior Grant through the DNR. ,RESTORED 2009,39.425,-85.01
Brookville Township,Fruit,1880,Burial Listing,Brookville,S22-T9N-R2W,PHOTO BY CEMETERY COMMISSION.,Poor,39.4347,-84.9828
Caldwell,---,1815,Notes,Whitewater,---,On State Line Road and Sparks Road,Poor,---,---
Calpha,Calfee,1844,Burial Listing,Brookville,S10-T11N-R13E,"On Coffee Road, 4 miles west of Brookville. PHOTOS BY CEMETERY COMMISSION.",Poor,39.4261,-85.0711
Cassiday,---,Unknown,Notes,Brookville,---,Not located.,Unknown,---,---
Cedar Grove Catholic,Holy Guardian Angel,,Burial Listing,Highland,S13-T8N-R2W,Located in Cedar Grove,Unknown,39.3586,-84.9378
Chance,---,1829,Burial Listing,Laurel,S10-T12N-R12E,East of Laurel on Laurel-Blooming Grove Road. PHOTO BY CEMETERY COMMISSION.,RESTORED 2010,39.5025,-85.1717
Chapel,---,1860,Burial Listing,Posey,S25-T12N-R11E,1.7 miles from junction of State Road 52 and Chapel Road. It is on the southside of the road and east of the Buena Southern Missionary Church.,Good,39.4669,-85.2586
Collect,Warne,1842,Burial Listing,Brookville,S2-T11N-R2W,Southside of US 52 3 miles west of Brookville,Unknown,39.4336,-85.0472
Collett,---,1850,Burial Listing,Brookville,S33-T12N-R13E,"South side of US 52, 4 miles west of Brookville on the former Paul Ritzi farm. PHOTO BY CEMETERY COMMISSION.",RESTORED 2005,39.4419,-85.0761
Conn,---,1819,Burial Listing,Springfield,S24-T9N-R1W,"West side of State Line Road, on mound, 150 ft off road, north of Scipio. PHOTOS BY ED BAKER AND DON DUNAWAY.",RESTORED 2008,39.4225,-84.8178
Conwell,Laurel Township Cem is adjacent,1832,Burial Listing,Laurel,S3-T12N-R12E,Located on State Road 121 at the top of the hill on the northside of the town of Laurel,Fair,39.5053,-85.1853
Cooksey,---,1846,Burial Listing,Brookville,S10-T8N-R2W,"Located between River Road and Oak Tree Road. Access is very difficult due to the steep slope, and it is on private land. PHOTO BY CEMETERY COMMISSION..",Poor,39.3714,-84.98
Crawford-Bolton,---,,Burial Listing,Brookville,---,,Unknown,---,---
Crawford Family,---,1834,Burial Listing,Brookville,S10-T8N-R2W,"North side of River Road, South of Highland Center & River Road. PHOTO BY CEMETERY COMMISSION",Fair,39.3681,-84.9664
Cummins,"Wallace-McKnight, Drake Farm",1813,Burial Listing,Springfield,S8-T9N-R1W,"On Liberty Pike, 1/2 mi N of Oxford Pike.  PHOTOS BY CEMETERY COMMISSION.",RESTORED 2004,39.4583,-84.9089
Cupp's Chapel,---,1846,Burial Listing,Metamora,S2-T11N-R12E,Located on Cupps Chapel road off State Road 229 between Metamora and Peppertown.,Fair,39.4294,-85.1633
Drake Farm,"Wallace-McKnight, Cummins",1813,Burial Listing,Springfield,S8-T9N-R1W,"On Liberty Pike, 1/2 mi N of Oxford Pike.  PHOTOS BY CEMETERY COMMISSION.",RESTORED 2004,39.4583,-84.9089
Drewersburg Baptist,Baptist,,Burial Listing,Springfield,---,Located behind church in Mt Carmel.,Good,---,---
Duck Creek,Metamora,1845,Burial Listing,Metamora,S36-T12N-R12E,1/4 mile North of Metamora on Duck Creek Road. PHOTOS 2 & 3 BY CEMETERY COMMISSION AND ARE OF THE OLD SECTION.,Good,39.4517,-85.1389
Ebenezer,Ebenezer Methodist,1823,Burial Listing,Blooming Grove,S23-T12N-R13E,"West of State Road 1, approx 4 miles NW of Brookville. PHOTOS 2 & 3 BY CEMETERY COMMISSION. The building is what remains of the Ebenezer Methodist Church, located at the entrance of the lane to the cemetery.",RESTORED 2010,39.4689,-85.0464
Elder-Tyner,Tyner,1830,Burial Listing,Brookville,S33-T9N-R2W,This is an abandoned cemetery 2.9 miles south of Brookville on Lee Orschell Farm. PHOTO BY CEMETERY COMMISSION.,RESTORED 2007,39.3986,-84.985
Eldon Family,---,1852,Burial Listing,Brookville,S26-T9N-R2W,Located 4 miles east of Brookville and 2 miles south of State Road 252,Fair,---,---
Enochsburg Catholic,St John the Evangelist,Unknown,Burial Listing,Decatur Co,S9-T10N-R11E,On south side of Enochsburg Road at the intersection of Franklin/Decatur County Line Road at Enochsburg. Church is in Franklin County and cemetery in Decatur,Unknown,39.335,-85.2978
Fairfield Community,Sims-Brier,,Burial Listing,Fairfield,S23-T10N-R2W,The cemetery is made up of graves moved from 13 cemeteries from Franklin and Union Counties that were moved when the Brookville Lake was built in the early 70s.,Excellent,---,---
Faurote,---,1872,Burial Listing,Posey,---,1.9 miles South of the intersection of US52 and Chapel Hill Road,Poor,---,---
Flint,---,Unknown,Notes,Bath,---,Was located in Bath Township on Liberty Pike. Stones have been removed.,Gone,---,---
Franklin (Old),---,1810,Burial Listing,Fairfield,S26-T10N-R2W,Located on South Franklin Church Road near Fairfield Causeway Road on the west side of the roadway. PHOTO BY DON DUNAWAY.,Good,39.5061,-84.9492
Free Church,"Free, Union",1844,Burial Listing,Highland,S13-T8N-R2W,Located at south end of 4th Street in Cedar Grove behind the old fire department. PHOTO 2 BY CEMETERY COMMISSION.,RESTORED 2010,39.355,-84.9378
Freeman-Sholts,"Stokes, Whitewater Twp Abandoned",1845,Burial Listing,Whitewater,S35-T10N-R1W,"On hill at the north edge of Rockdale, listed as an abandoned cemetery. PHOTO BY CEMETERY COMMISSION.",Poor,39.3194,-84.8481
Fruit,Brookville Township,1880,Burial Listing,Brookville,S22-T9N-R2W,PHOTO BY CEMETERY COMMISSION.,Poor,39.4347,-84.9828
Fruits,Asbury,1820,Burial Listing,Springfield,S23-T9N-R1W,2.5 miles NE of Mt Carmel-2.5 miles NW of Scipio. It is locatedon a high mound west of Raymond Road and south of Merrill Road overlooking Dry Fork Creek. The Asbury Methodist Church was torn down on the site in 1925. PHOTO BY DON DUNAWAY.,RESTORED 2008,39.4244,-84.845
Gant,---,1856,Burial Listing,Whitewater,S7-T8N-R1W,On lower Possum Hollow Road. PHOTO BY CEMETERY COMMISSION.,RESTORED BY WHITEWATER TWP TRUSTEE IN 2009,39.3748,-84.9114
Gobel,Senour-Gobel,1836,Burial Listing,Laurel,S34-T12N-R12E,2 1/2 miles west of Metamora on northside of US 52. PHOTO BY CEMETERY COMMISSION.,RESTORED 2007,39.4533,-85.1706
Gobel's Creek,"St Peter UCC, Klemme's Corner, Blue Creek",1845,Burial Listing,Highland,S17-T8N-R2W,"Old cemetery on Highland Center Road, new cemetery on Bossert Road just west of Klemme's Corner. PHOTOS 2 & 3 BY CEMETERY COMMISSION.",Excellent,39.3547,-85.0039
Gray Private,Mixerville,1823,Burial Listing,Bath,S36-T10N-R1W,"1 mile south and 2.5 miles east of Bath and northeast of Mixerville, southside of Brookville Road in pasture.",RESTORED 2004 by Bruce Coleman Family,39.4908,-84.8172
Halstead,---,1818,Burial Listing,Brookville,S9-T11N-R13E,6 miles west of Brookville on Levy Road. PHOTOS BY CEMETERY COMMISSION.,RESTORED 2005,39.4358,-85.0789
Hamburg Catholic,St Ann's,1869,Burial Listing,Salt Creek,S24-T11N-R11E,"Located on northside of Hilltop Road near intersection of Rail Fence Road, north of Hamburg.",Excellent,39.3864,-85.2467
Hancock,---,Unknown,Notes,Whitewater,S11-T8N-R1W,No stones left in the cemetery. Exact location unknown.,Unknown,---,---
Hansel,---,1818,Burial Listing,Bath,S25-T10N-R1W,2.5 miles east of Bath on Bath Road. PHOTO BY CEMETERY COMMISSION. (Person in photo is Clayton Brack who helps in Bath Twp.),Unknown,39.5059,-84.8175
Harding,"Berg-Harding, John Harding",1838,Burial Listing,Highland,S13-T8N-R2W,On land formerly owned by the Harding Family. East of State Road 1. PHOTO BY CEMETERY COMMISSION.,RESTORED 2005,---,---
Harmony,---,1838,Burial Listing,Bath,S26-T10N-R1W,Located on west side of Harmony Road. PHOTO 2 BY CEMETERY COMMISSION.,Fair,39.4978,-84.835
Harvey,Anspach Farm,1821,Burial Listing,Blooming Grove,---,"East of Blooming Grove, northside of Fairfield Causeway Road",RESTORED 2005,---,---
Highland Twp (Abandoned),---,Unknown,Burial Listing,Highland,---,"Cemetery is located in Highland Township 1.75 miles south of the junction of U.S. 52 and Indiana 1 at Cedar Grove. Indiana 1, curves sharply about 1.5 miles from this junction, and the cemetery is immediately west of the curve.",Unknown,---,---
Hinds,---,1830,Burial Listing,Springfield,S29-T9N-R1W,Located on Little Cedar Road .5 miles south of State Road 252,Unknown,---,---
Hite,---,1819,Burial Listing,Posey,---,PHOTO BY CEMETERY COMMISSION.,RESTORED 2008,---,---
Holley,---,1852,Burial Listing,Salt Creek,S3-T11N-R11E,"Located off Chapel Road, west of Buena Vista. There was a settlement of black people here, and there are two markers. Rode Holley was a black man.",RESTORED 2008,39.4378,-85.2797
Holliday,---,1827,Burial Listing,Brookville,S36-T9N-R2W,4 miles east of Brookville and 1.5 miles south of State Road 252 on Whitcomb Road South. Picture 2 shows a group of Girl Scouts who cleaned up the cemetery some years ago. PHOTOS BY CEMETERY COMMISSION.,RESTORED 2005,39.3978,-84.9358
Holy Family,---,1861,Burial Listing,Ray,S4-T10N-R2E,"Located in Oldenburg. The Sisters of St. Francis cemetery, listed as Oldenburg Catholic, is beside this cemetery but separated by a fence. PHOTOS BY CEMETERY COMMISSION.",Excellent,39.3436,-85.2042
Holy Guardian Angel,Cedar Grove Catholic,Unknown,Burial Listing,Highland,S13-T8N-R2W,Located in Cedar Grove. PHOTO #3 BY DON DUNAWAY.,Unknown,39.3586,-84.9378
Hopewell,---,1830,Burial Listing,"Rush Co, IN",S20-T12N-R11E,"On Rush Co Rd 700E, South of St Rd 244, approx 1 mi West of Andersonville",Unknown,39.4742,-85.3176
Hughes Farm,---,Unknown,Notes,Fairfield,S32,"South of Causeway Rd off Saltwell Rd, 1.3 miles South of the end of the road.",Poor,---,---
Huntersville,St John,1836,Burial Listing,Ray,S19-T10N-R12E,Located on north side of the extension of Columbus Avenue just west of Batesville.,Unknown,---,---
Indian Creek Burial Ground,---,1812,Burial Listing,Butler Co OH,,"Located just across the Indiana-Ohio State Line in Butler County, Ohio. The Indian Creek church was a daughter church of the Little Cedar Grove Baptist Church. One of the latter's ministers, Rev. William Tyner rode cross county from here to there. The church was built c. 1830. The cemetery dates from 1812 and was the first burial ground in Butler County. It is maintained by the Butler County Park Board, and repairs were made to the stones in 2005. PHOTO BY CEMETERY COMMISSION.",Good,39.4647,-84.7849
Infirmary,Poor Farm,1815,Burial Listing,Brookville,S32-T9N-R2W,"Located off Blue Creek Rd, opposite the Franklin County Park. The tombstones shown behind the sign in the picture are actually in the Stringer Family Cemetery, and the Infirmary Cemetery is the field in front. There are no markers in the field. We do not know the location of any graves but our research indicates sixty or more inmates were buried in the Infirmary Cemetery. The ground was farmed at one time. PHOTOS BY CEMETERY COMMISSION.",RESTORED 2010,39.4056,-85.0125
James,---,1809,Burial Listing,Springfield,S29-T9N-R1W,"West side of Big Cedar Road North, north of State Road 252. PHOTOS BY CEMETERY COMMISSION.",RESTORED 2009,39.4183,-84.9075
Jenks,---,1841,Burial Listing,Laurel,S21-T12N-R12E,East of Dam Road south of Laurel on the John Steele Property. Photo 2 shows how a tree can envelop a stone. PHOTOS BY CEMETERY COMMISSION.,RESTORED 2007,39.4828,-85.1889
Jim Run Road,---,Before 1850,Notes,Blooming Grove,---,"Upper Jim Run Road, 4 mi west of Blooming Grove",Poor,---,---
John Allen,---,Unknown,Notes,Blooming Grove,---,Cemetery has not been located.,Unknown,---,---
John Moore,---,1943,Burial Listing,Butler,,Cemetery is located at 16096 Wolf Creek Road.,Unknown,39.2312,-85.0449
Johnson,---,1839,Burial Listing,Laurel,S3-T12N-R12E,"Ott Road. Cemetery Commission member Ed Baker is shown on the left, volunteer Wayne Monroe on the right. PHOTO BY CEMETERY COMMISSION.",RESTORED 2004,39.5167,-85.1678
Jones-Gloshen,"Jones-Clawson, John Alley, Frank White",1830,Burial Listing,Butler,S21-T11N-R13E,2.5 miles west of Oak Forest on Pump House Road. PHOTO BY CEMETERY COMMISSION.,RESTORED 2007,39.3839,-85.08
Jones-Lanning,Wolf Creek,1844,Burial Listing,Butler,---,.3 miles east of Oak Forest junction of St Mary's and Wolf Creek Roads. PHOTO BY CEMETERY COMMISSION.,Very Good,---,---
Klemme's Corner,"St Peter UCC, Gobel's Creek, Blue Creek",1845,Burial Listing,Highland,S17-T8N-R2W,"Old cemetery on Highland Center Road, new cemetery on Bossert Road just west of Klemme's Corner. PHOTOS 2 & 3 BY CEMETERY COMMISSION.",Excellent,39.3547,-85.0039
Klemme's Corner,Trinity Lutheran,1849,Burial Listing,Highland,S16-T8N-R2W,On east side of Highland Center Road at intersection of James Road south of Klemme's Corner. PHOTO 2 BY CEMETERY COMMISSION.,Excellent,39.3508,-85.0033
LaRowe,LaRue,1835,Burial Listing,Whitewater,S11-T8N-R1W,PHOTOS BY CEMETERY COMMISSION.,RESTORED 2009,39.3761,-84.8383
Laurel Old Catholic,St Raphael,1876,Burial Listing,Laurel,S9-T12N-R12E,Located between Kokomo Hill Road and Commerce Street at the west edge of Laurel.,Unknown,39.5047,-85.1872
Laurel North,---,1836,Burial Listing,Laurel,S3-T12N-R112E,1 mile northeast of Laurel on State Road 121,Excellent,39.5208,-85.1778
Laurel Township,Adjacent to Conwell Cem,1832,Burial Listing,Laurel,S9/10-T12N-R12E,Located on State Road 121 at the top of the hill on the northside of the town of Laurel.,Fair,39.5053,-85.1853
Liberty Church,---,1855,Burial Listing,Brookville,---,Not located,Unknown,---,---
Lipscomb-Baker,---,1846,Burial Listing,Salt Creek,S11-T11N-R12E,On St Rd 229. PHOTO BY CEMETERY COMMISSION.,RESTORED 2007,39.4228,-85.1686
Little Cedar Grove Baptist,---,1810,Burial Listing,Brookville,S3-T8N-R2W,One stone is in church. Cemetery has a number of unmarked graves.,Unknown,39.3872,-84.9817
Little Cedar Public,---,1821,Burial Listing,Brookville,S4-T8N-R2W,"West of Little Cedar Baptist Church on State Road 52, cross Little Cedar Creek, west end of north field and up a steep hill over private land. PHOTOS BY CEMETERY COMMISSION.",RESTORED 2006,39.39,-84.9853
Little Children,Little Children's Home,1974,Burial Listing,Blooming Grove,S6-T12N-R13E,PHOTO BY CEMETERY COMMISSION.,Unknown,39.5139,-85.1211
Lockwood,---,Abt 1838,Burial Listing,Posey,---,PHOTO BY CEMETERY COMMISSION.,Exact location not known,---,---
Longnecker,---,1840,Burial Listing,Metamora,S5-T11N-R13E,Between Silver Creek Rd and the south side of the Whitewater River near Metamora. PHOTO 2 BY ED BAKER.,RESTORED 2008,39.4386,-85.1086
Maple Grove,---,1882,Burial Listing,Brookville,S19/30-T9N-R2W,"On St Mary's Road just west of Brookville. PHOTOS BY CEMETERY COMMISSION. Photo 4 is of the Veterans' Circle in the old section, and Photo 5 is the Veterans' Circle in the new section.",Excellent,39.4217,-85.0219
Marlin,---,1850,Burial Listing,Salt Creek,S20-T11N-R12E,East of Beacon road on Harvey's Branch Road..east side of roadway. PHOTO BY CEMETERY COMMISSION.,RESTORED 2004,39.3947,-85.2083
Martin,---,1819,Burial Listing,Brookville,S11-T11N-R13E,Located 2 miles west of Brookville on River Road. Access is via Levee Road. PHOTOS BY CEMETERY COMMISSION.,RESTORED 2014,39.4189,-85.0478
McKendrie,McKenzie,1840,Burial Listing,Metamora,S29-T12N-R13E,"The correct name of this cemetery is McKendrie, not McKendric as shown on the county map. A portion of cemetery is in Brookville Township. Located south of McGuire Ridge Road. PHOTO 2 BY CEMETERY COMMISSION.",RESTORED 2009,39.4664,-85.0925
Merritt,---,1879,Burial Listing,Brookville,S12-T8N-R3W,"Located on westside of Blue Creek Road, north of Cane Mill Road. PHOTO 2 BY CEMETERY COMMISSION.",RESTORED 2005,39.3725,-85.0414
